"asv_name","percent_match","kingdom","phylum","class","order","family","genus","species"
"ASV4970_count_10",93.862,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"ASV5109_count_9",92.928,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales",NA,NA,NA
"ASV5222_count_9",86.538,"Pseudomonadati",NA,NA,NA,NA,NA,NA
"ASV5038_count_10",85.2216666666667,"Pseudomonadati",NA,NA,NA,NA,NA,NA
"ASV5209_count_9",97.794,"Metazoa","Arthropoda","Insecta","Diptera","Ceratopogonidae",NA,"Ceratopogonidae sp. sc_07781"
"ASV5223_count_9",92.786,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales",NA,NA,NA
"ASV5095_count_9",87.488,"Pseudomonadati","Pseudomonadota",NA,NA,NA,NA,NA
"ASV4912_count_10",86.5385,"Pseudomonadati",NA,NA,NA,NA,NA,NA
"ASV4918_count_10",88.366,"Pseudomonadati","Pseudomonadota",NA,NA,NA,NA,NA
"ASV5131_count_9",86.1586666666667,"Pseudomonadati",NA,NA,NA,NA,NA,NA
"ASV5113_count_9",88.971,"Bacillati","Actinomycetota",NA,NA,NA,NA,NA
"ASV5197_count_9",91.27,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA,NA
"ASV5060_count_10",86.466,"Pseudomonadati",NA,NA,NA,NA,NA,NA
"ASV4979_count_10",100,"Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Pandoraea","Pandoraea thiooxydans"
"ASV4975_count_10",92.481,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA,NA
"ASV4995_count_10",90.1295,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria",NA,NA,NA,NA
"ASV5001_count_10",87.417,"Metazoa","Mollusca",NA,NA,NA,NA,NA
"ASV5218_count_9",95.771,"Pseudomonadati","Pseudomonadota","Betaproteobacteria",NA,NA,NA,NA
"ASV5065_count_10",92.804,"Pseudomonadati","Pseudomonadota","Betaproteobacteria",NA,NA,NA,NA
"ASV4957_count_10",89.868,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria",NA,NA,NA,NA
"ASV5135_count_9",90.096,"Pseudomonadati","Bacteroidota","Cytophagia",NA,NA,NA,NA
"ASV4993_count_10",89.416,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria",NA,NA,NA,NA
"ASV5017_count_10",89.844,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria",NA,NA,NA,NA
"ASV5210_count_9",86.765,"Pseudomonadati",NA,NA,NA,NA,NA,NA
"ASV5008_count_10",90.524,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria",NA,NA,NA,NA
"ASV4931_count_10",89.826,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria",NA,NA,NA,NA
