"asv_id","count","percent_match","kingdom","phylum","class","order","family","genus","species"
"ASV8208",4,88.235,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV8454",4,87.77,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV8234",4,96.875,"Metazoa","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"ASV8465",4,89.062,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV8369",4,100,"Metazoa","Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",NA
"ASV8431",4,99.51,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Technomyrmex","Technomyrmex vitiensis"
"ASV8311",4,100,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV8373",4,94.286,"Metazoa","Arthropoda","Malacostraca","Decapoda","Penaeidae",NA,NA
"ASV8269",4,90.64,"Metazoa","Arthropoda","Arachnida",NA,NA,NA,NA
"ASV8145",4,90.698,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV8383",4,97.143,"Metazoa","Arthropoda","Insecta","Coleoptera","Dytiscidae","Hydroporus","Hydroporus sp. IBE<ESP> AV45"
"ASV8220",4,97.436,"Metazoa","Arthropoda","Diplopoda","Sphaerotheriida","Sphaerotheriidae","Zoosphaerium","Zoosphaerium sp. 4 TW-2021"
"ASV8416",4,100,"Metazoa","Arthropoda","Insecta","Phthiraptera","Menoponidae","Myrsidea","Myrsidea seminuda"
"ASV8212",4,100,"Metazoa","Arthropoda","Arachnida","Araneae","Leptonetidae","Longileptoneta","Longileptoneta jangseongensis"
"ASV8360",4,88.158,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV8222",4,96,"Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Cyclotrachelus",NA
"ASV8242",4,92.754,"Metazoa","Arthropoda","Ostracoda","Podocopida",NA,NA,NA
"ASV8784",3,88.0794444444444,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV8519",4,99.464,"Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae",NA,"Entomobryidae sp. sc_04935"
"ASV8738",3,88.432,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV8560",3,96.2963333333333,"Metazoa","Arthropoda","Insecta","Coleoptera",NA,NA,NA
"ASV8818",3,95.833,"Metazoa","Arthropoda","Insecta","Diptera","Cecidomyiidae",NA,NA
"ASV8646",3,92.982,"Metazoa","Arthropoda","Insecta","Diptera",NA,NA,NA
"ASV8734",3,87.692,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV8821",3,97.778,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Megalomyrmex","Megalomyrmex sp. AEV4231"
"ASV8640",3,87.5475,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV8524",4,97.368,"Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA
"ASV8582",3,93.617,"Metazoa","Arthropoda","Insecta","Hymenoptera","Agaonidae",NA,NA
"ASV8639",3,94.286,"Metazoa","Arthropoda","Insecta","Diptera","Cecidomyiidae",NA,NA
"ASV8562",3,87.2333333333333,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV8760",3,100,"Metazoa","Arthropoda","Insecta","Phasmatodea","Timematidae","Timema","Timema bartmani"
"ASV8540",3,87.302,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV8778",3,100,"Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","Opius","Opius sp."
"ASV8823",3,97.143,"Metazoa","Arthropoda","Insecta","Hemiptera","Reduviidae","Sirthenea","Sirthenea nitida"
"ASV8756",3,100,"Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Isotes","Isotes sp. JJG145"
"ASV8528",4,88.679,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV8678",3,89.706,"Metazoa","Arthropoda","Arachnida",NA,NA,NA,NA
"ASV8607",3,91.379,"Metazoa","Arthropoda","Arachnida","Sarcoptiformes",NA,NA,NA
"ASV8601",3,88.235,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV9035",3,92.308,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV8936",3,100,"Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae","Sophonia","Sophonia orientalis"
"ASV8866",3,95.238,"Metazoa","Arthropoda","Insecta","Hymenoptera","Platygastridae","Synopeas",NA
"ASV8930",3,89.051,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV8906",3,93.8728571428571,"Metazoa","Arthropoda","Insecta","Coleoptera",NA,NA,NA
"ASV8966",3,95.89,"Metazoa","Arthropoda","Arachnida","Sarcoptiformes","Haplozetidae",NA,NA
"ASV8937",3,90.476,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV9028",3,88.571,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
